itemDescription,averageCost
Braised Beef w/ Unlimited Rice,36.027000
Korean Pork Strips w/ Unlimited Rice,32.609613
Spanish Kaldereta w/ Unlimited Rice,40.053800
Mashed Potato Meal Beef,17.857100
Mashed Potato Meal Chicken,23.214300
Ham & Cheese Sandwich (INACTIVE),21.982100
Tuna Sandwich (INACTIVE),22.857100
Chicken Teriyaki Sandwich Q,25.232100
Creamy Pesto Pasta (Q),25.723200
Macaroni & Cheese Pasta,26.785700
X-Cheese Mamon BT,25.267800
MD Buttered Toast,8.035700
Marble Chiffon Cake,16.071400
Choco Chiffon Cake,16.071400
White Chiffon Cake,16.071400
Creamy Tuna Pasta,33.928500
Chicken Adobo Pandesal,18.750000
Tuna Dill Pandesal,18.750000
Bacon and Cheese Pandesal,18.750000
S'mores Donut,17.857100
Cream Cheese Donut,17.857100
Sauce Katsu Don,66.964300
Tori Karaage Don,66.964300
Chicken Teriyaki Don,66.964200
Katsu Sandwich,44.642800
Chicken Cheese Burger,31.571400
Pork Mechado P59,32.082600
Chicken Asado P59,32.060400
Beef Picadillo P59,28.275000
Chili Con Carne P59,28.052700
Chicken Adobo P59,33.044400
Fiesta Menudo P59,33.044400
Salisbury Steak P59,32.558200
Pork Steak P69,33.360700
Chicken Afritada P69,33.630700
Pork Sisig P69,33.201201
Chicken Sisig P69,33.202450
Pork Giniling P59,30.261700
Monde Cookies & Cream,23.214200
Monde Chocolate Mousse,23.214200
Monde Dulce de Leche,-1.000000
Chicken Asado  Disposal 1 svg,25.682600
Beef Picadillo Disposal 1 svg,21.897200
Chili Con Carne Disposal 1 svg,21.674900
Chicken Adobo Disposal 1 svg,26.666600
Fiesta Menudo Disposal 1 svg,26.666600
Salisbury Steak Disposal 1 svg,26.666600
Pork Steak Disposal 1 svg,26.666600
Chicken Afritada Disposal 1 svg,26.666600
Pork Sisig Disposal 1 svg,27.567000
Chicken Sisig Disposal 1 svg,27.568250
Pork Giniling Disposal 1 svg NL,23.883900
Sauce Katsu Don w/ Iced Tea 16oz,74.402300
Tori Karaage Don w/ Iced Tea 16oz,74.464285
Chicken Teriyaki Don w/ Iced Tea 16oz,74.402200
Katsu Sandwich w/ Iced Tea 16oz,52.080800
Egg Mayo Sandwich,32.499999
Ham & Egg Mayo Sandwich,32.500000
Oriental Chicken Pasta ( Qbites),37.142800
Spaghetti with Meatballs,37.142800
Mushroom Gravy Meatballs w/ Unli Rice,36.437700
MD Classic Fudge, 6s,80.356800
MD Choco   Mallows, 6s,40.178400
MD White Drizzle, 6s,60.267600
MD Mallows & Drizzle, 6s,40.178400
LC Macaroni Salad 80g,23.214200
LC Macaroni Salad 150g,37.142899
X-Cheesy Cheese Mamon,25.892900
Ube Ensaymada,34.821400
Monde Strawberry Shortcake,-1.000000
Fiesta Ham Sandwich with Cheese,40.178600
Chicken Mushroom Soy P69,33.524100
Korean Pork Stew P69,33.524100
Beef Gyudon P69,33.524100
Pork Paksiw P69,33.524100
Meatballs with Mushroom Gravy P59,29.054600
Meatballs with Sweet and Sour P59,29.054600
Lechon Paksiw P59,36.511700
Chicken Mushroom Soy Disposal 1 svg,26.560000
Korean Pork Stew Disposal 1svg,26.560000
Beef Gyudon Disposal 1svg,26.560000
Pork Paksiw Disposal 1svg,26.560000
Meatballs with Mushroom Gravy Disposal 1svg,22.676800
Meatballs with Sweet and Sour Disposal 1svg,22.676800
Lechon Paksiw Disposal 1svg,30.133900
Pork Binagoongan P69,36.511700
Pork Binagoongan Disposal 1 svg,30.133900
Steamed Hotdog Classic w/ Unlimited Rice,20.415900
Steamed Hotdog Cheese w/ Unlimited Rice,22.120500
Tuna Pesto Sandwich (INACTIVE),29.464200
Tuna Salpicao Lunchbox with Unli Rice,39.370963
Thai Curry Sardines Lunchbox with Unli Rice,39.413500
Glazed Fruit Cocktail with Apple,23.214200
Chunky Chicken Penne Pasta,35.285700
Shredded Beef Spaghetti,35.285700
MD Classic Choco Flat Tops Donut,15.630000
Monde Banana Cream Pie,23.214200
Monde Mango Float,23.214200
MD Caramel Baked Bites,10.044600
MD Cheese Baked Bites,10.044600
Breakfast Java Rice w/PineappleJuice12oz,38.088400
Breakfast GarlicRicew/PineappleJuice12oz,38.088400
Breakfast Java Rice w/ Cafe Americano 12oz,35.625180
Breakfast Garlic Rice w/ Cafe Americano 12oz,35.625180
GONUTS DONUTS BOX OF 6 RM,7.500000
FREE GONUTS DONUTS BOX OF 6,7.500000
GD Tsokolate,-1.000000
Embutido w/ Unli Rice P49,20.677800
GD Choco Coffee,-1.000000
GD Amazing Glaze,-1.000000
Bologna with Unli Rice P49,16.176100
Embutido 1pc Disposal,4.761900
Wow Bologna Disposal 1svg,9.636447
Breakfast Java Rice Meal,41.071399
Breakfast Garlic Rice Meal,41.071400
2 Pieces Embotido + 1cup Rice,14.262000
2 Pieces Sweet Ham + 1 cup Rice,14.291600
2 Pieces Bologna + 1 pc Sweet Ham + 1 cup rice,14.165200
3 Pieces Bologna + 1 cup rice,11.965800
Beef Giniling Meal,18.750000
Ground Beef Steak Meal,18.750000
Pork Menudo Meal,18.750000
XX-MD Filled Choco Swiss Mocha,13.928600
MD Filled Choco Strawberry,13.928600
Chocolate Cake,37.500000
Strawberry Cake,36.600700
Carrot Cake,40.178500
4IN1 Sandwich,32.500000
Sisig Caldereta P69,30.759200
Sisig Bicol Express P69,29.925042
Bopis P69,27.955576
Pork Mexican P69,27.921312
Menudo P69,28.713500
Pork Giniling P69,27.955575
Bopis Disposal 1svg,22.321500
Pork Mexican Disposal 1 svg,22.321500
Menudo Disposal 1svg,22.321375
Pork Giniling Disposal 1svg FB,22.321375
Sisig Bicol Express Dipsosal 1svg,23.809407
MD Choco Chip Cookie,13.392800
Pumpkin and Zucchini Slice,-1.000000
MD Christmas Brownies 6pcs,66.294600
Fiesta Ham with Salted Egg Sandwich,39.285700
Fiesta Ham with Coco Butter Sandwich,39.285700
Chicken Parmigiania,35.285700
Mac and Cheese with Bacon,35.285700
Nestle Shepherd's Pie,34.419600
Nestle Crema De Fruta,26.785700
Nestle Chocolate Mousse,23.214300
Fruit Salad 80g,26.785700
ROSEMARY HERB COOKIES,22.321400
PESTO HERB COOKIES,22.321400
Korean Bulgogi P29,20.089200
Arroz Ala Cubana P29,20.089200
Sisig Bicol Express P29,20.089200
Vanilla Roll,27.678500
Marble Roll,27.678500
Char Siu Rice Meal,59.963500
White Chicken Rice Meal,59.963500
Roast Pork Rice Meal,64.427800
Chicken Feet Rice Meal,37.642100
Char Siu Rice Meal with Iced Tea 16oz,67.740930
White Chicken Rice Meal with Iced Tea 16oz,68.365029
Chicken Feet Rice Meal with Iced Tea 16oz,45.991331
Roast Pork Rice Meal with Iced Tea 16oz,72.267800
Almond Jelly with Fruit Cocktail,19.642800
Yema Cake,20.535700
Pan de Coco,11.607100
Free MD Buttered Toast for True Brew,8.035700
TB-Ube Bean Bread,25.892900
TB-Azuki Bean Bread,25.892900
TB-Walnut Pan,25.892900
Strawberry Cream Cake Sandwich,35.710000
Milky Cake Cup,35.710000
PR Brownies White Choco Drizzle Free,10.044600
MD Premium Choco Butternut,17.410700
MD Premium Dutch Choco Crunch,17.410700
Red Velvet,26.785699
Salted Caramel,26.785699
Chocolate Mousse,26.785700
Dorayaki Chocolate,17.850000
Dorayaki Caramel,17.850000
Bacon Cheeseburger,35.710000
Doraemon Cupcake,26.790000
Dorayaki Chocolate w/ Blue Lemonade 16oz,26.909197
Dorayaki Caramel w/ Blue Lemonade 16oz,27.061679
Bacon Cheeseburger w/ Blue Lemonade 16oz,44.787000
Doraemon Cupcake w/ Blue Lemonade 16oz,35.867100
LB Pork Binagoongan Sisig P32,20.540000
LB Beef Pares P32,20.540000
LB Creamy Embutido P39,22.320000
LB Shawarma Rice P39,22.320000
LB Hawaiian Chicken P45,27.680000
LB Asian Pork Stew P45,27.680000
Bacon and Cheese Sandwich,26.785700
MD Gold Cookies & Cream,17.410000
MD Gold Dark Chocolate,17.410000
B-Christmas Cookie,20.535700
B-Christmas Brownies,40.178600
Holiday Dessert - Cakesickle,33.928500
Holiday Dessert - Mini Cake Roll,33.928500
Mocha Cake - Half Roll,102.678500
Black Forest Cake - Half Roll,102.678500
Burger Steak,44.684100
Pork Adobo,43.620408
Tocino with Egg,43.611600
Pork Menudo,43.611600
Beef Tapa,43.611600
Tuna Sandwich,32.392900
Chicken Teriyaki Sandwich B,30.544600
Ham Sandwich,21.919600
Ham & Egg Sandwich BK,24.991100
Ham & Cheese Sandwich BK,24.392900
Ham Pesto and Cheese Premium Sandwich,27.767900
Grilled Veggies Premium Sandwich,28.571400
Spaghetti,34.250000
Carbonara,37.026800
Baked Mac,34.250000
Lasagna,34.250000
Ham & Cheese Pandesal,21.285700
Macaroni Salad,24.000000
Corned Beef  Pandesal,23.142900
Sweet Apple,25.267900
Salted Caramel Parmesan,25.892800
Chocolate Dozo,25.267900
Peppered Ham and Cheese,25.267900
Mini Cheese Boat,25.267900
GD Pastillas de Leche,12.000000
Rocky Road,12.000000
Black Forest,12.000000
Chocolate Frost,12.000000
Cocktail Bun,25.892800
BT-Mini Cheese Balls,25.892800
GD Ube Jam,-1.000000
Calamansi Cream,12.000000
GD Bavarian,-1.000000
Student Meal Cucumber,48.935995
Student Meal Blue Lemonade,48.849618
Student Meal Dalandan,49.154897
Student Meal Lemonade,48.974392
Student Meal w/o Drink,43.838000
Breakfast w/ Coffee,42.139100
Breakfast with Milo,45.093800
Breakfast w/o Drink,36.248700
Special Chicken Empanada,14.285700
LongPao Chicken Ala King,25.892800
LongPao Braised Pork,25.892800
Long Siopao Chicken Ala King 8pcs/pack,25.892800
Long Siopao Braised Pork  8pcs/pack,25.892800
Balut,13.883900
Boiled Egg,8.098200
Fried Chicken Bucket w/ Rice (Lemonade),214.444500
Fried Chicken Bucket w/ Rice (Cucumber),214.444500
Fried Chicken Bucket w/ Spag (Cucumber),299.519700
Fried Chicken Bucket w/ Spag (Lemonade),299.519700
QB 6pcs Fried Chicken Party Pack,189.470000
Fried Chicken Bucket w/Lasagna(Cucumber),299.519700
Fried Chicken Bucket w/Lasagna(Lemonade),299.519700
Popcorn Plain Disposal 1g only,0.082600
TJ Hotdog Sandwich Classic 8in New,21.089892
TJ Hotdog Sandwich Cheese 8in New,21.984166
Steamed Siomai 4pcs/stick,16.964330
Steamed Sharksfin 4pcs/stick,16.964304
Chicken Katsu Mozza Mayo,19.642900
Chicken Katsu Bicol Ex.,20.809500
Chicken Katsu Mozza M. w/UnliRice,25.277101
Chicken Katsu B.Ex w/UnliRice,26.701100
German Franks 8" Fried,32.953125
German Franks Sandwich 8",37.684263
German Franks 8" w/ Unli Rice,38.587326
DSF German Franks 1pc,32.953125
Fried Chicken Bucket w/ Rice (Dalandan),214.986000
2 Fried Chicken w/ Dalandan 22oz,75.537400
2 Fried Chicken w/ Cucumber 22oz,73.875500
2 Fried Chicken w/ Unlimited Rice,67.976001
6 Fried Chicken w/ Rice + Coke 1.5L,238.915300
2 Fried Hotdog Classic w/ Iced Tea 12oz,41.738000
2 Fried Hotdog Cheese w/ Iced Tea 12oz,41.738000
2 Fried Hotdog Classic w/ Pineapple Juice 12oz,39.966800
2 Fried Hotdog Cheese w/ Pineapple Juice 12oz,39.966800
2 Hotdog Sandwich Classic w/ Iced Tea 12oz,50.059400
2 Hotdog Sandwich Cheese w/ Iced Tea 12oz,50.059400
2 Hotdog Sandwich Classic w/ Pineapple Juice 12oz,48.288200
2 Hotdog Sandwich Cheese w/ Pineapple Juice 12oz,48.288200
6 Fried Chicken w/ Sprite 1.5L,238.915300
Add-on Lady's Choice Real Mayo 10ml,2.545000
Chicken Katsu Tomato Mayo Jalapeño,20.587300
Chicken Katsu TomatoMayoJalapeño Unli Rice,26.965100
Chicken Nuggets Ala Carte,19.196430
Chicken Nuggets with Unlimited Rice,24.830631
Karaage 4pcs. with Unlimited Rice,36.472586
SM Fried Chicken 1pc,29.105500
Kellogg's Coco Loops 15g,2.383900
Kellogg's Froot Loops 15g,2.383900
QB Fried Chicken 1pc w/ Unli Rice,36.805101
SM Fried Chicken 1pc w/ Unli Rice,34.739700
Special Chicken Empanada 1pc Disposal,14.285700
DSF SM Fried Chicken 1pc,29.105500
Hotdog Classic Sandwich w/ Cucumber 16OZ,27.054182
Hotdog Classic Sandwich w/ Blue Lemonade 16OZ,23.623700
Hotdog Classic Sandwich w/ Dalandan 16OZ,23.864200
Hotdog Classic Sandwich w/ Lemonade 16OZ,23.626100
Hotdog Cheese Sandwich w/ Cucumber 16OZ,23.742800
Hotdog Cheese Sandwich w/ Blue Lemonade 16OZ,23.623700
Hotdog Cheese Sandwich w/ Lemonade 16OZ,23.626100
Hotdog Cheese Sandwich w/ Dalandan 16OZ,23.864200
Chicken Teriyaki Siopao,26.785700
TJ FriedHotdogClassic 8in w/ Cucumber16OZ,19.582100
TJ FriedHotdogClassic 8in w/BlueLemonade 16OZ,19.463000
TJ FriedHotdogClassic 8in w/Dalandan16OZ,19.703500
TJ FriedHotdogClassic 8in w/Lemonade16OZ,19.465735
TJ FriedHotdogCheese 8in w/Cucumber 16OZ,19.435465
TJ FriedHotdogCheese 8in w/ BlueLemonade 16OZ,19.463000
TJ FriedHotdogCheese 8in w/Lemonade 16OZ,19.465735
TJ FriedHotdogCheese 8in w/Dalandan 16OZ,19.703500
Home Style Chicken w/ Unli Rice,50.277001
Home Style Chicken & Unli Rice w/ Nestle Dalandan 16oz,63.884900
6 Fried Chicken w/ Rice & 3 Nestle Dalandan 16oz (Qbites),-1.000000
6 Fried Chicken w/ Rice & 3 Nestle Cucumber 16oz (Qbites),505.136620
6 Fried Chicken w/ Rice & 3 Nestle Blue Lemonade 16oz (Qbites),494.865321
6 FChicken w/ Rice & 3NSTL LMON16oz(QB),-1.000000
Home Style Chicken & Unli Rice w/ Nestle Cucumber 16oz,62.139990
Home Style Chicken & Unli Rice w/ Nestle Lemonade 16oz,62.994900
Home Style Chicken &Unli Rice w/ NestleBlueLemonade16oz,62.119790
2 Fried Hotdog Classic w/ Nestle Cucumber 12oz,39.780000
2 Fried Hotdog Cheese w/ Nestle Dalandan 12oz,-1.000000
2 Fried Hotdog Classic w/ 2 Nestle Dalandan 12oz,-1.000000
2 Fried Hotdog Cheese w/ 2 Nestle Cucumber 12oz,36.556600
2 Hotdog Sandwich Classic w/ 2 Nestle Dalandan 12oz,44.394474
2 Hotdog Sandwich Cheese w/2 Nestle Dalandan 12oz,44.394474
2 Hotdog Sandwich Classic w/  2 Nestle Cucumber 12oz,44.878000
2 Hotdog Sandwich Cheese w/  2 Nestle Cucumber 12oz,50.990456
Home StyleChicken & Unli Ricew/Nestle PinkLemonade16oz,64.093511
LongPao Tuna,24.553500
SM Fried Chicken w/ Unlimited Garlic Rice NI,63.151000
Long Siopao Tuna 8pcs/pack,-1.000000
Fried Chicken 1pc with Sweet Zesty Glaze & Unli Rice,40.632200
Fried Chicken 1pc with Smokey Soy & Unli Rice,38.685800
Home StyleChicken & Unli Ricew/Nestle Guyabano16oz,61.611006
Junior Asado Siopao,17.857100
Junior Bola-Bola Siopao,17.857100
Hotdog Sandwich Cheese w/ Iced Tea 16oz,27.598122
Hotdog Sandwich Classic w/ Iced Tea 16oz,25.893485
Crispy Burger w/ Unli Rice,22.597473
Crispy Burger 3pcs,16.963434
SM Spicy Fried Chicken 1pc,29.777300
SM Spicy Fried Chicken w/ unli rice 1pc,37.324200
QB Spicy Fried Chicken 1pc,31.842599
QB Spicy Fried Chicken w/ unli rice 1pc,37.476800
Chicken Katsu Mozza Mayo w/ Unli Rice Less P5,25.416759
Chicken Nuggets with Unli Rice Less P5,25.588500
Crispy Burger w/ Unli Rice Less P5,22.722735
Fried Chicken 1pc w/ Unli Rice less P5,38.291600
Spicy Fried Chicken w/ Unli Rice Less P5,38.963300
Crispy Empanada Chicken Curry P29,15.625000
Crispy Empanada Pork Giniling P29,15.625000
UBE TURON P20,10.044600
Chicken Katsu Cheesy Bacon,19.642900
Chicken Katsu Cheesy Bacon w/ UnliRice,25.277101
Hotdog Sandwich 12IN w/16oz Iced Tea & Cheezee,23.784363
Fried Hotdog 12IN,10.034379
Fried Hotdog 12IN with UnliRice,16.426479
PF Hotdog 12IN 1pc Disposal,10.034379
S&W WHOLE CORN KERNEL 250g RM,0.109669
VR FRIED CHICKEN 1PC,26.004434
VR FRIED CHICKEN 1PC W/ UNLI RICE,31.638635
VR SPICY FRIED CHICKEN 1PC,27.533300
VR SPICY FRIED CHICKEN 1PC  W/ UNLI RICE,32.310335
VR 2 Fried Chicken w/ Unlirice,60.115300
6 F CHCKN W/ RICE & 3 NSTL LMON 12OZ(QB),226.744128
6 F CHCKN W/ RICE & 3 NSTL PINK 12OZ(QB),246.890000
6 F CHCKN W/ RCE & 3 NSTL CCUM 12OZ(QB),246.890000
6 F CHCKN W/ RCE & 3NSTL GYABNO 12OZ(QB),247.360000
VR 6pcs Fried Chicken Party Pack,156.026604
2 FRIED HOTDOG CHEESE W/ 2 NESTLE GUYABANO 12OZ,42.190000
2 HOTDOG SANDWICH CHEESE W/ 2 NESTLE GUYABANO 12OZ,49.742856
2 F CHCKN&UNLI RCE W/NSTL CCUM 12OZ(QB),79.791518
2 F CHICKEN & UNLI RICE W/ NSTL CCM(SM),74.471200
2 Fried hotdog Classic w/ 2 Guyabano12oz,42.190000
2 HOTDOG SANDWICH CLASSIC W/ 2 GUYABANO 12OZ,46.333580
CHICKEN KATSU MOZZA MAYO W/ UNLI RICE (W),35.856300
CHICKEN KATSU CHEESY BACON W/ UNLI RICE (W),35.856400
CHICKEN NUGGET W/ UNLI RICE (W),35.856600
FRIED CHICKEN 1PC W/ UNLI RICE (W),45.513500
SPICY FRIED CHICKEN 1PC W/ UNLI RICE (W),46.185200
SHANGHAI ROLL 3PCS W/ UNLI RICE (W),36.525900
Home Style Chicken w UnliRice & Iced Tea 16oz,58.096311
Garlic & Herb chicken w/ unli Rice,56.392100
Garlic & Herb chic w/Unlirice/Cucumber16oz,65.426100
Garlic & Herb chic w/Unlirice/pinklemonade16oz,64.950100
Garlic & Herb chic w/Unlirice/Lemonade16oz,64.950100
Garlic & Herb chic w/Unlirice/Guyabano16oz,65.426300
DSR S&W Whole Corn Kernel 1g,0.114600
DSF VR Fried Chicken 1pc,26.004434
Red Bean Pao,10.714200
Ube Pao,10.714200
B1T1 Fried Footlong,20.068758
BACON WITH UNLI RICE,17.910951
1 Bacon Strip,3.069187
2 Bacon Strips,6.138375
3 Bacon Strips,9.207562
BACON WITH EGG UNLI RICE,24.911000
Breaded Pork with Unli Rice,41.348401
Breaded Pork & Unli Rice with Iced Tea 16oz,49.157157
Add-on 1pc Egg,7.000000
PR FRIED CHICKEN 1PC W/ UNLI RICE VR,33.825700
PR SPICY FRIED CHICKEN 1PC  W/ UNLI RICE VR,34.497400
PR Fried Chicken (1pc) w/ Unli Rice SM,36.200700
PRSpicy FriedChicken w/unli rice (1pc)SM,36.872400
PR Fried Chicken 1pc w/ Unli Rice QB,38.291571
PR Spicy Fried Chicken w/ unli rice 1pc QB,38.963270
PR Garlic & Herb with unli rice 2 for 159,112.784200
TB Chicken Meal with True Brew 16oz,67.436888
Garlic rice (ala carte),10.014524
Fried Hotdog 12" w Unli Garlic Rice,20.048900
Shanghai Rolls 3pcs w Unli Garlic Rice,40.148400
X-Bacon w/ Egg w Unli Garlic Rice,28.305573
Karaage 4pcs w Unli Garlic Rice,40.867208
Crispy Burger w Unli Garlic Rice,26.992257
Breaded Pork w Unli Garlic Rice,45.743023
Breaded Pork & Unli Garlic Rice w Iced Tea 16oz (INACTIVE),53.537524
Bacon w/ Unli Garlic Rice,22.291274
German Franks 8" w Unli Garlic Rice,42.981948
QB Spicy Fried Chicken w Unli Garlic Rice,41.857165
Home Style Chicken w Unli Garlic Rice w N Pink Lemonade 16oz,64.884170
Home Style Chicken w Unli Garlic Rice w N Guyabano 16oz,63.691600
Home Style Chicken w Uni Garlic Rice,54.657471
Home Style Chicken w Unli Garlic Rice w N Lemonade 16oz,63.088895
Home Style Chicken w Unli Garlic Rice w N Cucumber 16oz,63.691400
Chicken Katsu Cheesy Bacon w Unli Garlic Rice,29.657467
Garlic & Herb Chicken w Unli Garlic Rice,60.014600
Fried Chicken Zesty Glaze w Unli Garlic Rice,47.197500
Fried Chicken Smokey Soy w Unli Garlic Rice,45.251100
VR Fried Chicken w Unli Garlic Rice,36.876100
2 Fried Chicken w Unli Garlic Rice (Q),72.356367
VR 2 Fried Chicken w Unli Garlic Rice,62.023392
QB Fried Chicken w Unli Garlic Rice,41.185469
Chicken Katsu Mozza Mayo w Unli Garlic Rice,29.657466
Chicken Nuggets w Unli Garlic Rice,29.225253
Add-on Extra Plain Rice(N.I),5.634201
Add-on Extra Plain Rice(S.C),22.321000
Pizza Hot Pocket P35,19.196400
Tuna Hot Pocket P35,17.857100
Spam Luncheon Meat 340gx12 RM,0.424400
X-1pc Spam with Unli Rice(SC),6.066901
X-2pc Spam with Unli Rice,39.647300
X-2pcs Spam with Unli Rice (SC),6.448814
1pc Spam with Unli Rice&Egg(SC),12.048657
2pcs Spam with Unli Rice&Egg(SC),12.448814
Add-on 1 pc Spam,15.891499
1pc Spam with Unli Rice,21.525700
2pcs Spam with Unli Rice,37.417620
1pc Spam with Unli Rice&Egg,28.525700
2pcs Spam with Unli Rice&Egg,44.417620
1PC SPAM WITH UNLI GARLIC RICE&EGG(SC),27.363505
2pcs Spam with Unli Garlic Rice&Egg(SC),47.812242
1pc Spam with Unli Garlic Rice(SC),-1.000000
2pcs Spam with Unli Garlic Rice (SC),41.811822
PR Bola Bola Siopao Large E SAVE P2,25.053600
PR Bola Bola Siopao Large W,-1.000000
PR Asado Siopao Large E SAVE P2,25.053600
PR ASADO SIOPAO LARGE W,-1.000000
PR CHICKEN TERIYAKI SIOPAO  W,26.785700
PR Ube Pao Free,-1.000000
PR Red Bean Pao Free,-1.000000
PR Ube Turon Free,-1.000000
Unlimited Rice (S.C),5.648500
Fried Chicken 1pc w/ Unli Rice QB/SC,38.291600
2 Fried Chicken w/ Unlimited Rice QB/SC,66.651300
Spicy Fried Chicken w/ unli rice 1pc QB/SC,38.963300
QB Fried Chicken 1pc w/ Garlic Unli Rice NI,41.929100
QB 2 Fried Chicken w/ Unlimited Garlic Rice NI,64.718000
QB Spicy Fried Chicken w/ Unli Garlic Rice 1pc,38.963300
Fried Chicken1pc w/ Unli Rice  SM / SC,35.628700
VR SPICY FRIED CHICKEN 1PC  W/ UNLI GARLIC RICE NI,33.925400
SM Fried Chicken 1pc w/ Unli Garlic Rice NI,39.105800
SM Spicy Fried Chicken w/ Unli Garlic Rice 1pc NI,39.777500
1pc Spam with Unli Garlic Rice,27.114000
1PC SPAM WITH UNLI GARLIC RICE&EGG,34.114000
Bacon w/ Unli Garlic Rice&Egg,29.398500
Breaded Pork & Unli Garlic Rice w Iced Tea 16oz,49.104600
Chicken Katsu Cheesy Bacon w Unli Garlic Rice(NI),29.657500
Chicken Katsu Mozza Mayo w Unli Garlic Rice(NI),29.657424
Chicken Nuggets w Unli Garlic Rice(NI),29.211000
Crispy Burger w Unli Garlic Rice(NI),26.621700
QB Fried Chicken w Unli Garlic Rice NI,37.738100
German Franks 8" w Unli Garlic Rice(NI),42.954613
Home Style Chicken w Unli Garlic Rice w N Cucumber 16oz NI,63.691400
Home Style Chicken w Unli Garlic Rice w N Lemonade 16oz NI,63.215400
Home Style Chicken w Unli Garlic Rice w N Pink Lemonade NI 16oz,63.215400
Karaage 4pcs w Unli Garlic Rice NI,40.809309
Shanghai Rolls 3pcs w Unli Garlic Rice NI,69.249966
QB Spicy Fried Chicken w Unli Garlic Rice NI,42.092800
2pcs Spam with Unli Garlic Rice,44.120500
2pcs Spam with Unli Garlic Rice&Egg,51.121000
DSF Spam 1pc,15.891499
VR 10pcs Fried Chicken Party Pack,260.044340
Chicken Inasal with Unli Rice,59.205600
Chicken Inasal with Unli Garlic Rice,63.571666
Add-on Garlic Rice Karinderia,10.758200
DSF Chicken Inasal 1pc,53.571400
Chicken Karaage Rice Bowl with Gravy,51.900215
Chicken Karaage Rice Bowl with Toyomansi,51.792568
Chicken Karaage Rice Bowl with BBQ Sauce,51.900374
1pc Pork Katsu with Unli Rice,20.619589
2pcs Pork Katsu with Unli Rice,35.604977
1pc Pork Katsu with UnliGarlic Rice,24.962167
2pcs Pork Katsu with UnliGarlic Rice,39.938124
DSF Pork Katsu 1pc,14.985388
PR Guru Guru P48,25.000000
PR 4pcs Shanghai Roll with Unli Rice,31.967400
1pc Longganisa with Unli Rice,13.220985
2pcs Longganisa with Unli Rice,20.807769
1pc Longganisa with Unli Garlic Rice,17.587310
