itemDescription,averageCost
Pork Sisig P69,33.359000
Chicken Sisig P69,33.359000
Pork Giniling P59,30.261700
RT Pork Mechado (Meal),19.906200
RT Chicken Asado (Meal),19.906200
RT Beef Picadillo (Meal),17.700800
RT Chili Con Carne (Meal),18.013300
Monde Cookies & Cream,23.214200
Monde Chocolate Mousse,23.214200
Monde Dulce de Leche,-1.000000
Pork Mechado  Disposal 1 svg,25.704801
Chicken Asado  Disposal 1 svg,25.682600
Beef Picadillo Disposal 1 svg,21.897200
Chili Con Carne Disposal 1 svg,21.674900
Chicken Adobo Disposal 1 svg,26.666600
Fiesta Menudo Disposal 1 svg,26.666600
Salisbury Steak Disposal 1 svg,26.666600
Pork Steak Disposal 1 svg,26.560000
Chicken Afritada Disposal 1 svg,26.560000
Pork Sisig Disposal 1 svg,27.566875
Chicken Sisig Disposal 1 svg,27.566750
Pork Giniling Disposal 1 svg NL,23.883900
RT Pork Giniling Meal,17.405229
RT Pork Sisig Meal,20.115667
RT Chicken Sisig Meal,19.378502
Egg Mayo Sandwich,32.500000
Ham & Egg Mayo Sandwich,32.500000
MD Creamy Glazed Hersheys,-1.000000
MD Swiss Choco Chips-Muffins,-1.000000
Oriental Chicken Pasta ( Qbites),37.142800
Spaghetti with Meatballs,37.142800
Mushroom Gravy Meatballs w/ Unli Rice,38.427800
MD Classic Fudge, 6s,60.267600
MD Choco   Mallows, 6s,40.178400
MD White Drizzle, 6s,60.267600
MD Mallows & Drizzle, 6s,-1.000000
LC Macaroni Salad 80g,23.214200
LC Macaroni Salad 150g,37.142900
X-Cheesy Cheese Mamon,25.892900
Ube Ensaymada,33.928600
Monde Strawberry Shortcake,-1.000000
Chicken Mushroom Soy P69,33.524100
Korean Pork Stew P69,33.524100
Beef Gyudon P69,33.524100
Pork Paksiw P69,33.524100
Meatballs with Mushroom Gravy P59,29.054600
Meatballs with Sweet and Sour P59,29.054600
Lechon Paksiw P59,36.511700
Chicken Mushroom Soy Disposal 1 svg,26.560000
Korean Pork Stew Disposal 1svg,26.560000
Beef Gyudon Disposal 1svg,26.560000
Pork Paksiw Disposal 1svg,26.560000
Meatballs with Mushroom Gravy Disposal 1svg,22.676779
Meatballs with Sweet and Sour Disposal 1svg,22.676800
Lechon Paksiw Disposal 1svg,30.133900
Pork Binagoongan P69,36.511700
Pork Binagoongan Disposal 1 svg,30.133900
Steamed Hotdog Classic w/ Unlimited Rice,20.415900
Steamed Hotdog Cheese w/ Unlimited Rice,22.120500
MD Strawberry Creamy donut,12.767800
MD Blue Berry Cream Donut,12.767800
Tuna Pesto Sandwich (INACTIVE),29.464200
Tuna Salpicao Lunchbox with Unli Rice,39.413500
Thai Curry Sardines Lunchbox with Unli Rice,39.413500
Glazed Fruit Cocktail with Apple,23.214200
Chunky Chicken Penne Pasta,35.285700
Shredded Beef Spaghetti,35.285700
MD Choco-Nutty Choc Nut Donut,15.630000
MD Classic Choco Flat Tops Donut,15.630000
Monde Banana Cream Pie,23.214200
Monde Mango Float,23.214200
MD Caramel Baked Bites,10.044600
MD Cheese Baked Bites,10.044600
Breakfast Java Rice w/PineappleJuice12oz,38.088400
Breakfast GarlicRicew/PineappleJuice12oz,38.088400
Breakfast Java Rice w/ Cafe Americano 12oz,35.625200
Breakfast Garlic Rice w/ Cafe Americano 12oz,35.625200
Embutido w/ Unli Rice P49,20.677800
Bologna with Unli Rice P49,16.748147
Embutido 1pc Disposal,4.761900
Wow Bologna Disposal 1svg,9.636447
Breakfast Java Rice Meal,41.071399
Breakfast Garlic Rice Meal,41.071400
2 Pieces Embotido + 1cup Rice,14.262000
2 Pieces Sweet Ham + 1 cup Rice,14.291600
2 Pieces Bologna + 1 pc Sweet Ham + 1 cup rice,14.165200
3 Pieces Bologna + 1 cup rice,11.965800
Beef Giniling Meal,18.750000
Ground Beef Steak Meal,18.750000
Pork Menudo Meal,18.750000
XX-MD Filled Choco Swiss Mocha,13.928600
MD Filled Choco Strawberry,13.928600
Chocolate Cake,37.500000
Carrot Cake,40.178500
4IN1 Sandwich,32.500000
Sisig Caldereta P69,30.773507
Sisig Bicol Express P69,30.773507
Bopis P69,28.713500
Pork Mexican P69,28.713500
Menudo P69,28.713500
Pork Giniling P69,28.713500
Bopis Disposal 1svg,22.321500
Pork Mexican Disposal 1 svg,22.321500
Menudo Disposal 1svg,22.321500
Pork Giniling Disposal 1svg FB,22.321375
Sisig Caldereta Disposal 1svg,23.809407
Sisig Bicol Express Dipsosal 1svg,23.809407
MD Choco Chip Cookie,13.392800
Pumpkin and Zucchini Slice,-1.000000
MD Christmas Brownies 6pcs,66.294600
Fiesta Ham with Salted Egg Sandwich,39.285700
Fiesta Ham with Coco Butter Sandwich,39.285700
Chicken Parmigiania,35.285700
Mac and Cheese with Bacon,35.285700
Nestle Shepherd's Pie,34.419600
Nestle Crema De Fruta,26.785700
Nestle Chocolate Mousse,23.214300
Fruit Salad 80g,26.785700
ROSEMARY HERB COOKIES,22.321400
PESTO HERB COOKIES,22.321400
Char Siu Rice Meal,59.963500
White Chicken Rice Meal,59.963500
Roast Pork Rice Meal,126.775800
Chicken Feet Rice Meal,37.642100
Char Siu Rice Meal with Iced Tea 16oz,67.768567
White Chicken Rice Meal with Iced Tea 16oz,68.365748
Chicken Feet Rice Meal with Iced Tea 16oz,50.339600
Roast Pork Rice Meal with Iced Tea 16oz,72.267800
Almond Jelly with Fruit Cocktail,19.642800
Yema Cake,20.535700
Pan de Coco,11.607100
Free MD Buttered Toast for True Brew,8.035700
PR HD Classic Sandwich 2 for P59,19.800800
PR HD Cheese Sandwich 2 for P59,20.891000
TB-Ube Bean Bread,25.892900
TB-Azuki Bean Bread,25.892900
TB-Walnut Pan,25.892900
Strawberry Cream Cake Sandwich,35.710000
Milky Cake Cup,35.710000
PR Brownies White Choco Drizzle Free,-1.000000
MD Premium Choco Butternut,17.410700
MD Premium Dutch Choco Crunch,17.410700
Red Velvet,26.785700
Salted Caramel,26.785700
Chocolate Mousse,26.785700
Dorayaki Chocolate,17.867183
Dorayaki Caramel,17.853276
Bacon Cheeseburger,37.500000
Doraemon Cupcake,26.790000
Dorayaki Chocolate w/ Blue Lemonade 16oz,26.915595
Dorayaki Caramel w/ Blue Lemonade 16oz,26.894033
Bacon Cheeseburger w/ Blue Lemonade 16oz,44.787000
Doraemon Cupcake w/ Blue Lemonade 16oz,35.867100
LB Pork Binagoongan Sisig P32,20.540000
LB Beef Pares P32,20.540000
LB Creamy Embutido P39,22.320000
LB Shawarma Rice P39,22.320000
LB Hawaiian Chicken P45,27.680000
LB Asian Pork Stew P45,27.680000
Bacon and Cheese Sandwich,26.785700
MD Gold Cookies & Cream,17.410000
MD Gold Dark Chocolate,17.410000
B-Christmas Cookie,20.535700
B-Christmas Brownies,40.178600
Holiday Dessert - Cakesickle,33.928500
Holiday Dessert - Mini Cake Roll,33.928500
Mocha Cake - Half Roll,102.678500
Black Forest Cake - Half Roll,102.678500
Burger Steak,43.983400
Pork Adobo,43.611600
Tocino with Egg,43.611600
Pork Menudo,43.611600
Beef Tapa,43.611600
Sisig,-1.000000
Tuna Sandwich,32.392900
Chicken Teriyaki Sandwich B,30.544600
Ham Sandwich,21.919600
Ham & Egg Sandwich BK,24.991100
Ham & Cheese Sandwich BK,24.392900
Ham Pesto and Cheese Premium Sandwich,27.767900
Grilled Veggies Premium Sandwich,28.571400
Cheesy Meaty Pizza,31.250000
Spaghetti,34.250000
Carbonara,37.026800
Baked Mac,34.250000
Lasagna,34.250000
Palabok,-1.000000
Garden Salad,21.000000
Ham & Cheese Pandesal,21.285700
Adobo Pandesal,20.535700
Macaroni Salad,24.000000
Leche Flan Coffee Flavor,-1.000000
Corned Beef  Pandesal,23.142900
Sweet Apple,-1.000000
Pizza Bread,25.267900
Salted Caramel Parmesan,25.267900
Chocolate Dozo,-1.000000
Peppered Ham and Cheese,-1.000000
Red Bean Cocktail Bun,25.267900
Coco Bundle,25.267900
Mini Cheese Boat,25.267900
GD Pastillas de Leche,12.000000
Rocky Road,12.000000
Black Forest,12.000000
Cookie Butter,12.000000
Chocolate Frost,12.000000
Cocktail Bun,25.267900
Coco Cocktail,25.267900
BT-Mini Cheese Balls,25.892800
Double Marble,25.267900
Sausage and Egg Sandwich,25.267900
Marby Super Loaf 600g,54.560000
GD Ube Jam,12.000000
Calamansi Cream,12.000000
GD Bavarian,12.000000
Student Meal Cucumber,49.351617
Student Meal Blue Lemonade,49.261651
Student Meal Dalandan,49.431177
Student Meal Lemonade,49.346060
Student Meal w/o Drink,44.209800
Breakfast w/ Coffee,40.814400
Breakfast with Milo,45.074837
Breakfast w/o Drink,36.620500
Halal Chicken Adobo with Kangkong,41.070000
Halal Thai Fish Curry,49.110000
Halal Beef Teriyaki,46.430000
Halal Baked Macaroni Solo,62.500000
Halal Bistek Tagalog Solo,62.500000
Halal Beef with Mushroom Solo,71.430000
Halal Beef Caldereta,62.500000
Halal Steamed Rice,12.500000
Special Chicken Empanada,14.285700
LongPao Chicken Ala King,25.892800
LongPao Braised Pork,25.892800
Long Siopao Chicken Ala King 8pcs/pack,25.892800
Long Siopao Braised Pork  8pcs/pack,25.892800
Balut,13.883900
Boiled Egg,8.098200
Popcorn Plain,82.589000
Popcorn Wasabi Mayo Big,10.134000
Fried Chicken Bucket w/ Rice (Lemonade),214.444500
Fried Chicken Bucket w/ Rice (Cucumber),214.444500
Fried Chicken Bucket w/ Spag (Cucumber),299.519700
Fried Chicken Bucket w/ Spag (Lemonade),299.519700
QB 6pcs Fried Chicken Party Pack,189.470000
Fried Chicken Bucket w/Lasagna(Cucumber),299.519700
Fried Chicken Bucket w/Lasagna(Lemonade),299.519700
Popcorn Cheese Small,5.033000
Popcorn Wasabi Mayo Small,5.301000
Popcorn Plain Disposal 1g only,0.082600
TJ Hotdog Sandwich Classic 8in New,20.291923
TJ Hotdog Sandwich Cheese 8in New,21.382094
Chicken Combo Meal,42.073500
Steamed Siomai 4pcs/stick,16.964300
Steamed Sharksfin 4pcs/stick,16.964300
Chicken Katsu Mozza Mayo,19.642900
Chicken Katsu Bicol Ex.,20.809500
Chicken Katsu Mozza M. w/UnliRice,25.277100
Chicken Katsu B.Ex w/UnliRice,26.701100
German Franks 8" Fried,32.953125
German Franks Sandwich 8",37.685224
Popcorn Cheese Big,9.384000
German Franks 8" w/ Unli Rice,38.587325
DSF German Franks 1pc,32.953125
Fried Chicken Bucket w/ Rice (Dalandan),214.986000
2 Fried Chicken w/ Dalandan 22oz,75.537400
2 Fried Chicken w/ Cucumber 22oz,73.875500
2 Fried Chicken w/ Unlimited Rice,70.763036
6 Fried Chicken w/ Rice + Coke 1.5L,238.915300
2 Fried Hotdog Classic w/ Iced Tea 12oz,41.738000
2 Fried Hotdog Cheese w/ Iced Tea 12oz,41.738000
2 Fried Hotdog Classic w/ Pineapple Juice 12oz,39.966800
2 Fried Hotdog Cheese w/ Pineapple Juice 12oz,39.966800
2 Hotdog Sandwich Classic w/ Iced Tea 12oz,50.059400
2 Hotdog Sandwich Cheese w/ Iced Tea 12oz,50.059400
2 Hotdog Sandwich Classic w/ Pineapple Juice 12oz,48.288200
2 Hotdog Sandwich Cheese w/ Pineapple Juice 12oz,48.288200
6 Fried Chicken w/ Sprite 1.5L,238.915300
Add-on Lady's Choice Real Mayo 10ml,2.545000
Chicken Katsu Tomato Mayo Jalapeño,20.587300
Chicken Katsu TomatoMayoJalapeño Unli Rice,27.551400
Chicken Nuggets Ala Carte,19.196430
Chicken Nuggets with Unlimited Rice,24.830630
Karaage 4pcs. with Unlimited Rice,36.472585
SM Fried Chicken 1pc,28.698209
QB Fried Chicken 1pc w/ Unli Rice,38.863568
SM Fried Chicken 1pc w/ Unli Rice,34.739700
Special Chicken Empanada 1pc Disposal,14.285700
DSF SM Fried Chicken 1pc,29.105500
Hotdog Classic Sandwich w/ Cucumber 16OZ,23.742800
Hotdog Classic Sandwich w/ Blue Lemonade 16OZ,23.623700
Hotdog Classic Sandwich w/ Dalandan 16OZ,23.864200
Hotdog Classic Sandwich w/ Lemonade 16OZ,23.626100
Hotdog Cheese Sandwich w/ Cucumber 16OZ,23.742800
Hotdog Cheese Sandwich w/ Blue Lemonade 16OZ,23.623700
Hotdog Cheese Sandwich w/ Lemonade 16OZ,23.626100
Hotdog Cheese Sandwich w/ Dalandan 16OZ,23.864200
TJ FriedHotdogClassic 8in w/ Cucumber16OZ,19.582100
TJ FriedHotdogClassic 8in w/BlueLemonade 16OZ,19.463000
TJ FriedHotdogClassic 8in w/Dalandan16OZ,19.703500
TJ FriedHotdogClassic 8in w/Lemonade16OZ,19.465400
TJ FriedHotdogCheese 8in w/Cucumber 16OZ,19.582100
TJ FriedHotdogCheese 8in w/ BlueLemonade 16OZ,19.463000
TJ FriedHotdogCheese 8in w/Lemonade 16OZ,19.465400
TJ FriedHotdogCheese 8in w/Dalandan 16OZ,19.703500
Home Style Chicken w/ Unli Rice,50.277000
Home Style Chicken & Unli Rice w/ Nestle Dalandan 16oz,63.884900
6 Fried Chicken w/ Rice & 3 Nestle Dalandan 16oz (Qbites),-1.000000
6 Fried Chicken w/ Rice & 3 Nestle Cucumber 16oz (Qbites),-1.000000
6 Fried Chicken w/ Rice & 3 Nestle Blue Lemonade 16oz (Qbites),216.081300
6 FChicken w/ Rice & 3NSTL LMON16oz(QB),-1.000000
Home Style Chicken & Unli Rice w/ Nestle Cucumber 16oz,62.184075
Home Style Chicken & Unli Rice w/ Nestle Lemonade 16oz,62.994900
Home Style Chicken &Unli Rice w/ NestleBlueLemonade16oz,62.184075
2 Fried Hotdog Classic w/ Nestle Cucumber 12oz,39.780000
2 Fried Hotdog Cheese w/ Nestle Dalandan 12oz,-1.000000
2 Fried Hotdog Classic w/ 2 Nestle Dalandan 12oz,-1.000000
2 Fried Hotdog Cheese w/ 2 Nestle Cucumber 12oz,36.556600
2 Hotdog Sandwich Classic w/ 2 Nestle Dalandan 12oz,-1.000000
2 Hotdog Sandwich Cheese w/2 Nestle Dalandan 12oz,47.069154
2 Hotdog Sandwich Classic w/  2 Nestle Cucumber 12oz,44.878000
2 Hotdog Sandwich Cheese w/  2 Nestle Cucumber 12oz,44.878000
Home StyleChicken & Unli Ricew/Nestle PinkLemonade16oz,63.333801
LongPao Tuna,24.553500
SM Fried Chicken w/ Unlimited Garlic Rice NI,63.151000
Long Siopao Tuna 8pcs/pack,-1.000000
Fried Chicken 1pc with Sweet Zesty Glaze & Unli Rice,40.632200
Fried Chicken 1pc with Smokey Soy & Unli Rice,38.685800
Home StyleChicken & Unli Ricew/Nestle Guyabano16oz,62.009572
Junior Asado Siopao,17.857100
Junior Bola-Bola Siopao,17.857100
Hotdog Sandwich Cheese w/ Iced Tea 16oz,27.598123
Hotdog Sandwich Classic w/ Iced Tea 16oz,25.874698
Crispy Burger w/ Unli Rice,22.597403
Crispy Burger 3pcs,16.963200
SM Spicy Fried Chicken 1pc,29.777300
SM Spicy Fried Chicken w/ unli rice 1pc,37.324200
QB Spicy Fried Chicken 1pc,31.202701
QB Spicy Fried Chicken w/ unli rice 1pc,39.116601
Chicken Katsu Mozza Mayo w/ Unli Rice Less P5,26.035000
Chicken Nuggets with Unli Rice Less P5,25.588500
Crispy Burger w/ Unli Rice Less P5,22.846782
Fried Chicken 1pc w/ Unli Rice less P5,38.291600
Spicy Fried Chicken w/ Unli Rice Less P5,38.963300
Crispy Empanada Chicken Curry P29,15.625000
Crispy Empanada Pork Giniling P29,15.625000
UBE TURON P20,10.044600
Chicken Katsu Cheesy Bacon,19.642900
Chicken Katsu Cheesy Bacon w/ UnliRice,25.277104
Hotdog Sandwich 12IN w/16oz Iced Tea & Cheezee,24.033995
Fried Hotdog 12IN,10.034379
Fried Hotdog 12IN with UnliRice,16.426500
PF Hotdog 12IN 1pc Disposal,10.034379
Crispy Empanada chickn curry 1pc disposal,15.625000
Crispy Empanada Pork G 1pc disposal,15.625000
S&W WHOLE CORN KERNEL 250g RM,0.110654
VR FRIED CHICKEN 1PC,26.861578
VR FRIED CHICKEN 1PC W/ UNLI RICE,32.495778
VR SPICY FRIED CHICKEN 1PC,27.533792
VR SPICY FRIED CHICKEN 1PC  W/ UNLI RICE,33.167469
VR 2 Fried Chicken w/ Unlirice,59.357356
FRIED CHICKEN 1PC WITH SMOKEY SOY & UNLI RICE VR,39.825700
FRIED CHICKEN 1PC WITH SWEET ZESTY GLAZE & UNLI VR,41.772100
6 F CHCKN W/ RICE & 3 NSTL LMON 12OZ(QB),246.890000
6 F CHCKN W/ RICE & 3 NSTL PINK 12OZ(QB),246.890000
6 F CHCKN W/ RCE & 3 NSTL CCUM 12OZ(QB),246.890000
6 F CHCKN W/ RCE & 3NSTL GYABNO 12OZ(QB),247.360000
6 F CHCKN W/ RICE & 3 NSTL PINK 12OZ(VR),214.090000
6 F CHCKN W/ RICE & 3 NSTL CCUM 12OZ(VR),198.349200
6 F CHCKEN W/ RICE & 3 NSTL GUYAB(VR),198.349500
VR 6pcs Fried Chicken Party Pack,161.169468
2 FRIED HOTDOG CHEESE W/ 2 NESTLE GUYABANO 12OZ,42.190000
2 HOTDOG SANDWICH CHEESE W/ 2 NESTLE GUYABANO 12OZ,47.420000
6 F CHICKEN W/ RICE & 3 LMON 12OZ (VR),214.090000
2 F CHCKN&UNLI RCE W/NSTL CCUM 12OZ(QB),78.670000
2 F CHICKEN & UNLI RICE W/ NSTL CCM(SM),74.471200
2 F CHCKEN & UNLI RICE W/ NSTL CCUM(VR),69.721300
2 Fried hotdog Classic w/ 2 Guyabano12oz,42.190000
2 HOTDOG SANDWICH CLASSIC W/ 2 GUYABANO 12OZ,47.420000
CHICKEN KATSU MOZZA MAYO W/ UNLI RICE (W),35.856300
CHICKEN KATSU CHEESY BACON W/ UNLI RICE (W),35.856400
CHICKEN NUGGET W/ UNLI RICE (W),35.856600
FRIED CHICKEN 1PC W/ UNLI RICE (W),45.513500
SPICY FRIED CHICKEN 1PC W/ UNLI RICE (W),46.185200
SHANGHAI ROLL 3PCS W/ UNLI RICE (W),36.525900
Garlic & Herb chicken w/ unli Rice,56.964100
Garlic & Herb chic w/Unlirice/Cucumber16oz,65.426100
Garlic & Herb chic w/Unlirice/pinklemonade16oz,64.950100
Garlic & Herb chic w/Unlirice/Lemonade16oz,64.950100
Garlic & Herb chic w/Unlirice/Guyabano16oz,65.187879
DSF VR Fried Chicken 1pc,26.647300
Red Bean Pao,10.714200
Ube Pao,10.714200
BACON WITH UNLI RICE,19.652325
1 Bacon Strip,3.504531
2 Bacon Strips,7.009062
3 Bacon Strips,10.513593
BACON WITH EGG UNLI RICE,26.259425
Breaded Pork with Unli Rice,41.348400
Breaded Pork & Unli Rice with Iced Tea 16oz,49.250905
Add-on 1pc Egg,7.000000
PR FRIED CHICKEN 1PC W/ UNLI RICE VR,34.785450
PR SPICY FRIED CHICKEN 1PC  W/ UNLI RICE VR,35.640901
PR Fried Chicken (1pc) w/ Unli Rice SM,36.200700
PRSpicy FriedChicken w/unli rice (1pc)SM,36.872400
PR Fried Chicken 1pc w/ Unli Rice QB,37.093700
PR Spicy Fried Chicken w/ unli rice 1pc QB,37.765400
PR Garlic & Herb with unli rice 2 for 159,113.928200
PR Siopao Ube  2 for P30,10.714200
PR Siopao Redbean 2 for P30,10.714200
TB Chicken Meal with True Brew 16oz,0.000100
Garlic rice (ala carte),10.000271
Fried Hotdog 12" w Unli Garlic Rice,20.048900
Shanghai Rolls 3pcs w Unli Garlic Rice,40.148400
X-Bacon w/ Egg w Unli Garlic Rice,29.384200
Karaage 4pcs w Unli Garlic Rice,40.853000
Crispy Burger w Unli Garlic Rice,26.621670
Breaded Pork w Unli Garlic Rice,45.728770
Breaded Pork & Unli Garlic Rice w Iced Tea 16oz (INACTIVE),49.104600
Bacon w/ Unli Garlic Rice,22.277021
German Franks 8" w Unli Garlic Rice,42.967695
Home Style Chicken w Unli Garlic Rice w N Pink Lemonade 16oz,64.884170
Home Style Chicken w Unli Garlic Rice w N Guyabano 16oz,63.691600
Home Style Chicken w Uni Garlic Rice,54.657370
Home Style Chicken w Unli Garlic Rice w N Lemonade 16oz,63.215400
Home Style Chicken w Unli Garlic Rice w N Cucumber 16oz,63.691400
Chicken Katsu Mozza Mayo w Unli Garlic Rice,29.657500
Chicken Nuggets w Unli Garlic Rice,29.211000
Add-on Extra Plain Rice(N.I),5.634200
Add-on Extra Plain Rice(S.C),22.321000
Pizza Hot Pocket P35,19.196400
Tuna Hot Pocket P35,17.857100
Spam Luncheon Meat 340gx12 RM,0.407489
X-1pc Spam with Unli Rice(SC),24.140000
X-2pc Spam with Unli Rice,39.647300
Add-on 1 pc Spam,17.006600
1pc Spam with Unli Rice,21.027912
2pcs Spam with Unli Rice,36.422031
1pc Spam with Unli Rice&Egg,28.027911
2pcs Spam with Unli Rice&Egg,43.422031
PR Bola Bola Siopao Large E SAVE P2,25.053600
PR Bola Bola Siopao Large W,-1.000000
PR Asado Siopao Large E SAVE P2,25.053600
PR ASADO SIOPAO LARGE W,-1.000000
PR CHICKEN TERIYAKI SIOPAO  W,-1.000000
PR Ube Pao Free,-1.000000
PR Red Bean Pao Free,-1.000000
PR Ube Turon Free,-1.000000
Unlimited Rice (S.C),6.392100
Fried Chicken1pc w/ Unli Rice  SM / SC,35.628700
VR FRIED CHICKEN 1PC W/ UNLI GARLIC RICE NI,36.004704
VR SPICY FRIED CHICKEN 1PC  W/ UNLI GARLIC RICE NI,36.676398
VR 2 FRIED CHICKEN W/ UNLIMITED GARLIC RICE NI,36.861860
SM Fried Chicken 1pc w/ Unli Garlic Rice NI,39.105800
SM Spicy Fried Chicken w/ Unli Garlic Rice 1pc NI,39.777500
1pc Spam with Unli Garlic Rice,27.114000
1PC SPAM WITH UNLI GARLIC RICE&EGG,32.001045
Bacon w/ Unli Garlic Rice&Egg,28.884120
Breaded Pork & Unli Garlic Rice w Iced Tea 16oz,53.649122
